DateTime,Consumption,Month,Year,Date,Time,Week,Day
2016-01-11 13:00:00,13556,1,2016,2016-01-11,13:00:00,2,Monday
2016-01-11 14:00:00,13521,1,2016,2016-01-11,14:00:00,2,Monday
2016-01-11 15:00:00,13474,1,2016,2016-01-11,15:00:00,2,Monday
2016-01-11 21:30:00,13318,1,2016,2016-01-11,21:30:00,2,Monday
2016-01-11 22:00:00,13191,1,2016,2016-01-11,22:00:00,2,Monday
2016-01-11 23:00:00,12646,1,2016,2016-01-11,23:00:00,2,Monday
2016-01-12 00:00:00,12544,1,2016,2016-01-12,00:00:00,2,Tuesday
2016-01-12 01:00:00,12378,1,2016,2016-01-12,01:00:00,2,Tuesday
2016-01-12 02:00:00,11905,1,2016,2016-01-12,02:00:00,2,Tuesday
2016-01-12 03:00:00,11562,1,2016,2016-01-12,03:00:00,2,Tuesday
2016-01-12 04:00:00,11362,1,2016,2016-01-12,04:00:00,2,Tuesday
2016-01-12 05:00:00,11271,1,2016,2016-01-12,05:00:00,2,Tuesday
2016-01-12 06:00:00,11346,1,2016,2016-01-12,06:00:00,2,Tuesday
2016-01-12 07:00:00,11834,1,2016,2016-01-12,07:00:00,2,Tuesday
2016-01-12 08:00:00,12755,1,2016,2016-01-12,08:00:00,2,Tuesday
2016-01-12 09:00:00,12983,1,2016,2016-01-12,09:00:00,2,Tuesday
2016-01-12 10:00:00,13250,1,2016,2016-01-12,10:00:00,2,Tuesday
2016-01-12 11:00:00,13130,1,2016,2016-01-12,11:00:00,2,Tuesday
2016-01-12 12:00:00,13021,1,2016,2016-01-12,12:00:00,2,Tuesday
2016-01-12 13:00:00,13049,1,2016,2016-01-12,13:00:00,2,Tuesday
2016-01-12 14:00:00,13092,1,2016,2016-01-12,14:00:00,2,Tuesday
2016-01-12 15:00:00,13060,1,2016,2016-01-12,15:00:00,2,Tuesday
2016-01-12 16:00:00,13020,1,2016,2016-01-12,16:00:00,2,Tuesday
2016-01-12 17:00:00,13103,1,2016,2016-01-12,17:00:00,2,Tuesday
2016-01-12 18:00:00,13369,1,2016,2016-01-12,18:00:00,2,Tuesday
2016-01-12 19:00:00,13401,1,2016,2016-01-12,19:00:00,2,Tuesday
2016-01-12 20:00:00,13318,1,2016,2016-01-12,20:00:00,2,Tuesday
2016-01-12 21:00:00,13268,1,2016,2016-01-12,21:00:00,2,Tuesday
2016-01-12 22:00:00,13146,1,2016,2016-01-12,22:00:00,2,Tuesday
2016-01-12 23:00:00,12629,1,2016,2016-01-12,23:00:00,2,Tuesday
2016-01-13 00:00:00,12646,1,2016,2016-01-13,00:00:00,2,Wednesday
2016-01-13 01:00:00,12385,1,2016,2016-01-13,01:00:00,2,Wednesday
2016-01-13 02:00:00,11968,1,2016,2016-01-13,02:00:00,2,Wednesday
2016-01-13 03:00:00,11643,1,2016,2016-01-13,03:00:00,2,Wednesday
2016-01-13 04:00:00,11418,1,2016,2016-01-13,04:00:00,2,Wednesday
2016-01-13 05:00:00,11470,1,2016,2016-01-13,05:00:00,2,Wednesday
2016-01-13 06:00:00,11557,1,2016,2016-01-13,06:00:00,2,Wednesday
2016-01-13 07:00:00,12023,1,2016,2016-01-13,07:00:00,2,Wednesday
2016-01-13 08:00:00,12856,1,2016,2016-01-13,08:00:00,2,Wednesday
2016-01-13 09:00:00,13340,1,2016,2016-01-13,09:00:00,2,Wednesday
2016-01-13 10:00:00,13618,1,2016,2016-01-13,10:00:00,2,Wednesday
2016-01-13 11:00:00,13524,1,2016,2016-01-13,11:00:00,2,Wednesday
2016-01-13 12:00:00,13446,1,2016,2016-01-13,12:00:00,2,Wednesday
2016-01-13 13:00:00,13379,1,2016,2016-01-13,13:00:00,2,Wednesday
2016-01-13 14:00:00,13386,1,2016,2016-01-13,14:00:00,2,Wednesday
2016-01-13 15:00:00,13282,1,2016,2016-01-13,15:00:00,2,Wednesday
2016-01-13 16:00:00,13247,1,2016,2016-01-13,16:00:00,2,Wednesday
2016-01-13 17:00:00,13337,1,2016,2016-01-13,17:00:00,2,Wednesday
2016-01-13 18:00:00,13568,1,2016,2016-01-13,18:00:00,2,Wednesday
2016-01-13 19:00:00,13597,1,2016,2016-01-13,19:00:00,2,Wednesday
2016-01-13 20:00:00,13586,1,2016,2016-01-13,20:00:00,2,Wednesday
2016-01-13 21:00:00,13631,1,2016,2016-01-13,21:00:00,2,Wednesday
2016-01-13 22:00:00,13418,1,2016,2016-01-13,22:00:00,2,Wednesday
2016-01-13 23:00:00,12868,1,2016,2016-01-13,23:00:00,2,Wednesday
2016-01-14 00:00:00,12871,1,2016,2016-01-14,00:00:00,2,Thursday
2016-01-14 01:00:00,12597,1,2016,2016-01-14,01:00:00,2,Thursday
2016-01-14 02:00:00,12159,1,2016,2016-01-14,02:00:00,2,Thursday
2016-01-14 03:00:00,11825,1,2016,2016-01-14,03:00:00,2,Thursday
2016-01-14 04:00:00,11613,1,2016,2016-01-14,04:00:00,2,Thursday
2016-01-14 05:00:00,11484,1,2016,2016-01-14,05:00:00,2,Thursday
2016-01-14 06:00:00,11567,1,2016,2016-01-14,06:00:00,2,Thursday
2016-01-14 07:00:00,12001,1,2016,2016-01-14,07:00:00,2,Thursday
2016-01-14 08:00:00,12967,1,2016,2016-01-14,08:00:00,2,Thursday
2016-01-14 09:00:00,13393,1,2016,2016-01-14,09:00:00,2,Thursday
2016-01-14 10:00:00,13528,1,2016,2016-01-14,10:00:00,2,Thursday
2016-01-14 11:00:00,13251,1,2016,2016-01-14,11:00:00,2,Thursday
2016-01-14 12:00:00,13203,1,2016,2016-01-14,12:00:00,2,Thursday
2016-01-14 13:00:00,13173,1,2016,2016-01-14,13:00:00,2,Thursday
2016-01-14 14:00:00,13183,1,2016,2016-01-14,14:00:00,2,Thursday
2016-01-14 15:00:00,13127,1,2016,2016-01-14,15:00:00,2,Thursday
2016-01-14 16:00:00,13113,1,2016,2016-01-14,16:00:00,2,Thursday
2016-01-14 17:00:00,13306,1,2016,2016-01-14,17:00:00,2,Thursday
2016-01-14 18:00:00,13567,1,2016,2016-01-14,18:00:00,2,Thursday
2016-01-14 19:00:00,13527,1,2016,2016-01-14,19:00:00,2,Thursday
2016-01-14 20:00:00,13414,1,2016,2016-01-14,20:00:00,2,Thursday
2016-01-14 21:00:00,13454,1,2016,2016-01-14,21:00:00,2,Thursday
2016-01-14 22:00:00,13320,1,2016,2016-01-14,22:00:00,2,Thursday
2016-01-14 23:00:00,12878,1,2016,2016-01-14,23:00:00,2,Thursday
2016-01-15 00:00:00,12817,1,2016,2016-01-15,00:00:00,2,Friday
2016-01-15 01:00:00,12591,1,2016,2016-01-15,01:00:00,2,Friday
2016-01-15 02:00:00,12124,1,2016,2016-01-15,02:00:00,2,Friday
2016-01-15 03:00:00,11848,1,2016,2016-01-15,03:00:00,2,Friday
2016-01-15 04:00:00,11660,1,2016,2016-01-15,04:00:00,2,Friday
2016-01-15 05:00:00,11685,1,2016,2016-01-15,05:00:00,2,Friday
2016-01-15 06:00:00,11768,1,2016,2016-01-15,06:00:00,2,Friday
2016-01-15 07:00:00,12163,1,2016,2016-01-15,07:00:00,2,Friday
